,poistion,track_name,artist,popularity,followers,gen_1,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
337,38,Sugar (feat. Francesco Yates),Robin Schulz,76,2990612,Dance,0.636,0.815,5,-5.098,0,0.0581,0,0.163,0.636,123.063,219043,4,FALSE,5tf1VVWniHgryyumXyJM7w,3t5xRXzsuZmMDkQzgOX35S,Sugar,2015
338,39,Dear Future Husband,Meghan Trainor,76,12195671,Dance,0.655,0.782,1,-4.789,1,0.185,0,0.317,0.832,79.427,184227,4,FALSE,3cU2wBxuV6nFiuf6PJZNlC,6JL8zeS1NmiOftqZTRgdTz,Title (Deluxe),2015
339,40,How Deep Is Your Love,Calvin Harris,76,22985542,Dance,0.738,0.868,11,-4.373,0,0.0731,0.00169,0.388,0.336,122.003,212640,4,FALSE,22mek4IiqubGD9ctzxc69s,7CajNmpbOovFoOoasH2HaY,How Deep Is Your Love,2015
340,41,Firestone,Kygo,76,8205953,EDM,0.704,0.634,11,-7.374,0,0.0428,3.17E-05,0.0952,0.411,113.927,271640,4,FALSE,1I8tHoNBFTuoJAlh4hfVVE,23fqKkggKUBHNkbKtXEls4,Cloud Nine,2015
341,42,Take Me to Church,Hozier,76,5293633,Other,0.566,0.664,4,-5.303,0,0.0464,0,0.116,0.437,128.945,241693,4,FALSE,1CS7Sd1u5tWkstBhpssyjP,2FXC3k01G6Gw61bmprjgqS,Hozier (Expanded Edition),2015
342,43,My House,Flo Rida,76,8704966,Dance,0.688,0.702,7,-4.792,0,0.0499,0,0.128,0.74,94.006,192191,4,FALSE,6Knv6wdA0luoMUuuoYi2i1,0jnsk9HBra6NMjO2oANoPY,My House,2015
343,44,oui,Jeremih,75,6010966,Rap,0.418,0.724,5,-3.724,1,0.0964,0,0.112,0.604,78.521,238320,5,FALSE,0PJIbOdMs3bd5AT8liULMQ,3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,2015
344,45,Renegades,X Ambassadors,75,2750416,EDM,0.526,0.862,2,-6.003,1,0.0905,0.0597,0.229,0.528,90.052,195200,4,FALSE,0fYVliAYKHuPmECRs1pbRf,3NPpFNZtSTHheNBaWC82rB,VHS,2015
345,46,Stitches,Shawn Mendes,75,39941886,Pop,0.752,0.754,1,-6.684,1,0.0615,0,0.0486,0.755,149.789,206880,4,FALSE,5jsw9uXEGuKyJzs0boZ1bT,7n2wHs1TKAczGzO7Dd2rGr,Handwritten,2015
346,47,In The Night,The Weeknd,74,53182739,R&B,0.505,0.68,7,-4.993,1,0.0714,0,0.0465,0.539,168.022,235653,3,TRUE,25KybV9BOUlvcnv7nN3Pyo,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,2015
347,48,Style,Taylor Swift,74,62872493,Pop,0.598,0.786,2,-5.572,1,0.0383,0.0016,0.117,0.456,95.019,231000,4,FALSE,4lIxdJw6W3Fg4vUIYCB0S5,06HL4z0CvFAxyc27GXpf02,1989,2015
348,49,Black Magic,Little Mix,74,10922413,Dance,0.776,0.875,4,-5.535,1,0.0575,0,0.314,0.849,111.988,211786,4,FALSE,6rmXhRIemCTPyMYZRDN7Qg,3e7awlrlDSwF3iM0WBjGMp,Get Weird (Expanded Edition),2015
349,50,I Don't Fuck With You,Big Sean,74,10216567,Hip Hop,0.824,0.733,1,-5.474,1,0.0613,0,0.325,0.395,97.972,284387,4,TRUE,7FYH5AW3bVfZHJIQpq3UOA,0c173mlxpT3dSFRgMO8XPh,Dark Sky Paradise,2015
350,51,Stole the Show,Kygo,74,8205953,EDM,0.64,0.635,8,-7.565,0,0.226,0,0.319,0.475,100.034,223187,4,FALSE,5masKPHeAOVNgxdLebIcK7,23fqKkggKUBHNkbKtXEls4,Cloud Nine,2015
351,52,King Kunta,Kendrick Lamar,74,22093154,Hip Hop,0.884,0.657,6,-4.569,0,0.0977,0,0.154,0.489,107.059,234693,4,TRUE,0N3W5peJUQtI4eyR6GJT5O,2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,2015
352,53,Want to Want Me,Jason Derulo,74,11615458,Dance,0.775,0.68,0,-5.508,0,0.0629,0,0.109,0.656,114.025,207719,4,FALSE,7oGZAicScQt96OAW4AruYy,07YZf4WDAMNwqr4jfgOZ8y,Everything Is 4,2015
353,54,When We Were Young,Adele,74,44110183,Soul,0.376,0.595,3,-5.936,1,0.0496,0,0.095,0.265,144.361,290900,4,FALSE,7GgWAITsYJaRM3r50rfh5w,4dpARuHxo51G3z768sgnrY,25,2015
354,55,679 (feat. Remy Boyz),Fetty Wap,74,4388101,Dance,0.618,0.717,7,-5.738,1,0.318,0,0.625,0.603,190.05,196693,4,TRUE,5NQbUaeTEOGdD6hHcre0dZ,6PXS4YHDkKvl1wkIl4V8DL,679 (feat. Remy Boyz),2015
355,56,Runaway (U & I),Galantis,74,3290609,Dance,0.506,0.805,1,-4.119,1,0.0469,0.00193,0.0856,0.383,126.008,227074,4,FALSE,46lFttIf5hnUZMGvjK0Wxo,4sTQVOfp9vEMCemLw50sbu,Pharmacy,2015
356,57,Where Are Ü Now (with Justin Bieber),Jack Ü,73,1073928,Dance,0.432,0.781,4,-4.038,0,0.0567,4.21E-06,0.0789,0.197,139.432,250286,4,FALSE,66hayvUbTotekKU3H4ta1f,1HxJeLhIuegM3KgvPn8sTa,Skrillex and Diplo present Jack Ü,2015
357,58,Unsteady,X Ambassadors,73,2750416,EDM,0.389,0.665,0,-6.169,1,0.0644,0.000732,0.116,0.199,117.055,193547,4,FALSE,7lGKEWMXVWWTt3X71Bv44I,3NPpFNZtSTHheNBaWC82rB,VHS,2015
358,59,Worth It (feat. Kid Ink),Fifth Harmony,73,15042035,Dance,0.884,0.765,8,-3.865,1,0.0882,7.04E-06,0.118,0.594,99.987,224573,4,FALSE,41Fflg7qHiVOD6dEPvsCzO,1l8Fu6IkuTP0U5QetQJ5Xt,Reflection (Deluxe),2015
359,60,Wildest Dreams,Taylor Swift,73,62872493,Pop,0.554,0.666,8,-7.414,1,0.0747,0.00593,0.106,0.472,140.056,220440,4,FALSE,59HjlYCeBsxdI0fcm3zglw,06HL4z0CvFAxyc27GXpf02,1989,2015
360,61,Bitch Better Have My Money,Rihanna,73,51162263,Pop,0.781,0.728,1,-4.981,1,0.0621,1.94E-06,0.257,0.395,102.99,219306,4,TRUE,0NTMtAO2BV4tnGvw9EgBVq,5pKCCKE2ajJHZ9KAiaK11H,Bitch Better Have My Money,2015
361,62,Trap Queen,Fetty Wap,73,4388101,Dance,0.746,0.873,7,-3.803,1,0.128,0,0.354,0.817,148.075,222093,4,TRUE,2d8JP84HNLKhmd6IYOoupQ,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap (Deluxe),2015
362,63,Never Forget You,Zara Larsson,73,10355852,Dance,0.583,0.732,11,-5.728,0,0.0457,9.86E-06,0.269,0.276,145.992,213428,4,FALSE,6hmhG1b4LEyNuashVvuIAo,1Xylc3o4UrD53lo9CvFvVg,So Good,2015
363,64,Antidote,Travis Scott,72,21413547,Rap,0.713,0.526,1,-5.046,1,0.032,0.000148,0.124,0.131,131.05,262693,4,TRUE,1wHZx0LgzFHyeIZkUydNXq,0Y5tJX1MQlPlqiwlOH1tJY,Rodeo (Expanded Edition),2015
364,65,Send My Love (To Your New Lover),Adele,72,44110183,Soul,0.688,0.533,6,-8.363,0,0.0865,3.48E-06,0.172,0.567,164.069,223079,4,FALSE,0t7fVeEJxO2Xi4H2K5Svc9,4dpARuHxo51G3z768sgnrY,25,2015
365,66,Die A Happy Man,Thomas Rhett,72,4289077,Country,0.595,0.389,2,-9.245,1,0.0349,1.39E-06,0.116,0.4,166.052,227427,4,FALSE,5kNe7PE09d6Kvw5pAsx23n,6x2LnllRG5uGarZMsD4iO8,Tangled Up,2015
366,67,Lips Are Movin,Meghan Trainor,72,12195671,Dance,0.775,0.825,7,-5.402,1,0.0464,1.03E-06,0.111,0.95,139.091,182667,4,FALSE,6gj08XDlv9Duc2fPOxUmVD,6JL8zeS1NmiOftqZTRgdTz,Title (Deluxe),2015
367,68,Ex's & Oh's,Elle King,72,517272,Rock,0.612,0.921,7,-2.882,1,0.085,0,0.0576,0.446,139.988,202173,4,FALSE,70eDxAyAraNTiD6lx2ZEnH,3bhu7P5PfngueRHiB9hjcx,Love Stuff,2015
368,69,No Type,Rae Sremmurd,72,6982790,Hip Hop,0.891,0.486,6,-7.803,1,0.159,3.78E-06,0.0925,0.239,125.01,200080,4,TRUE,4scpF6J5uMBvoh6sFB7EL1,7iZtZyCzp3LItcw1wtPI3D,SremmLife,2015
369,70,Bad Blood,Taylor Swift,72,62872493,Pop,0.654,0.655,11,-7.388,0,0.106,0,0.139,0.221,170.16,200107,4,FALSE,6xsEAm6w9oMQYYg3jkEkMT,06HL4z0CvFAxyc27GXpf02,Bad Blood,2015
