,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
36,37,Streets,Doja Cat,82,23058904,"['dance pop', 'pop']",0.749,0.463,11,-8.433,1,0.0842,0.0382,0.338,0.189,90.035,226987,4,True,60ynsPSSKe6O3sfwRnIBRf,5cj0lLjcoR7YOSnhnX0Po5,Hot Pink,2021
37,38,Sweater Weather,The Neighbourhood,92,10758996,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4,False,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh,I Love You.,2021
38,39,Fiel,Los Legendarios,74,78154,"['reggaeton', 'reggaeton flow', 'trap latino']",0.849,0.701,6,-4.407,0,0.06,0,0.112,0.505,98.005,261667,4,False,7Bk0uXKk1uPT0XuQbpFzvs,0n6sKrG0xKAf8xmdqeNGke,Los Legendarios 001,2021
39,40,Need to Know,Doja Cat,82,23058904,"['dance pop', 'pop']",0.664,0.609,1,-6.509,1,0.0707,0,0.0926,0.194,130.041,210560,4,True,3Vi5XqYrmQgOYBajMWSvCi,5cj0lLjcoR7YOSnhnX0Po5,Planet Her,2021
40,41,Don't Start Now,Dua Lipa,81,37329937,"['dance pop', 'pop', 'uk pop']",0.793,0.793,11,-4.521,0,0.083,0,0.0951,0.679,123.95,183290,4,False,3PfIrDoz19wz7qK7tYeu62,6M2wZ9GZgrQXHCFfjv46we,Future Nostalgia,2021
41,42,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,76,673996,"['pop rap', 'rap', 'trap', 'viral rap']",0.8,0.658,1,-6.142,0,0.079,0,0.111,0.462,140.042,195429,4,True,7hxHWCCAIIxFLCzvDgnQHX,6MPCFvOQv5cIGfw3jODMF0,B4 The Storm,2021
42,43,Woman,Doja Cat,87,23058904,"['dance pop', 'pop']",0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4,True,6Uj1ctrBOjOas8xZXGqKk4,5cj0lLjcoR7YOSnhnX0Po5,Planet Her,2021
43,44,Arcade,Duncan Laurence,75,443367,['dutch pop'],0.453,0.35,9,-11.639,0,0.0425,0.00122,0.144,0.279,72.017,185147,3,False,1J14CdDAvBTE1AJYUOwl6C,3klZnJvYGIbWritVwQD434,Small Town Boy (Track By Track),2021
44,45,Good Days,SZA,82,8766574,"['pop', 'r&b', 'rap']",0.436,0.655,1,-8.37,0,0.0583,8.1e-06,0.688,0.412,121.002,279204,4,True,3YJJjQPAbDT7mGpX3WtQ9A,7tYKF4w9nC0nq9CsPZTHyP,Good Days,2021
45,46,Qué Más Pues?,J Balvin,75,35863330,"['reggaeton', 'reggaeton colombiano', 'trap latino']",0.903,0.817,8,-3.972,1,0.095,0.000311,0.242,0.732,102.014,217360,4,False,6D2TCm4nf5nxAcdGJ7w3QP,1vyhD5VmyZ7KMfW5gqLgo5,JOSE,2021
46,47,Head & Heart (feat. MNEK),Joel Corry,78,310743,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4,False,6cx06DFPPHchuUAcTxznu9,6DgP9otnZw5z6daOntINxp,Head & Heart (feat. MNEK),2021
47,48,34+35,Ariana Grande,80,85119135,"['dance pop', 'pop']",0.83,0.585,0,-6.476,1,0.094,0,0.248,0.485,109.978,173711,4,True,6Im9k8u9iIzKMrmV7BWtlF,66CXWjxzNUsdJxJ2JdwvnR,Positions,2021
48,49,you broke me first,Tate McRae,83,3206139,['pop'],0.667,0.373,4,-9.389,1,0.05,0,0.0906,0.0823,124.148,169266,4,True,45bE4HXI0AwGZXfZtMp8JR,45dkTj5sMRSjrmBSBeiHym,you broke me first,2021
49,50,Pareja Del Año,Sebastian Yatra,76,20373812,"['colombian pop', 'reggaeton colombiano']",0.715,0.622,4,-5.102,0,0.046,0,0.0948,0.808,80.015,195053,4,False,2rCbl9naJYhaxjLsfx88uM,07YUOmWljBTXwIseAUd9TW,Pareja Del Año,2021
