,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
31,32,Team,Lorde,77,9885762,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.69,0.578,6,-7.436,1,0.0929,0,0.305,0.416,99.961,193059,4,False,3G6hD9B2ZHOsgf4WfNu7X1,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,2014
32,33,Waves - Robin Schulz Radio Edit,Mr. Probz,76,321853,"['dutch hip hop', 'tropical house']",0.829,0.51,5,-9.334,0,0.0369,0.00143,0.0829,0.45,119.994,208133,4,False,1HFfMOxCAT4GAwaPfCdmUs,33W1pnW9zScZtYTnAoWnOT,Waves (Robin Schulz Radio Edit),2014
33,34,Shower,Becky G,76,12710996,"['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",0.699,0.529,2,-7.548,1,0.0487,3.59e-05,0.285,0.121,119.987,206167,4,False,3DmW6y7wTEYHJZlLo1r6XJ,4obzFoKoKRHIphyHzJ35G3,Shower,2014
34,35,Am I Wrong,Nico & Vinz,76,502908,['pop rap'],0.729,0.675,8,-6.003,1,0.0312,1.58e-06,0.55,0.779,119.968,245867,4,False,1fidCEsYlaVE3pHwKCvpFZ,0awl5piYwO0CDTHEkCjUhn,Black Star Elephant,2014
35,36,Blame (feat. John Newman),Calvin Harris,76,22985542,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.414,0.857,0,-4.078,0,0.0808,0.00574,0.343,0.348,128.024,212960,4,False,07nH4ifBxUB4lZcsf44Brn,7CajNmpbOovFoOoasH2HaY,Motion,2014
36,37,Break Free,Ariana Grande,76,85188706,"['dance pop', 'pop']",0.687,0.702,7,-5.324,0,0.0455,4.35e-05,0.204,0.284,129.956,214840,4,False,12KUFSHFgT0XCoiSlvdQi4,66CXWjxzNUsdJxJ2JdwvnR,My Everything (Deluxe),2014
37,38,Jealous,Labrinth,76,2579808,"['indie poptimism', 'pop']",0.439,0.153,1,-8.95,1,0.0479,0,0.107,0.104,116.76,287693,3,False,4G92yYrUs0cvY7G41YRI0z,2feDdbD5araYcm6JhFHHw7,Jealous - EP,2014
38,39,Little Do You Know,Alex & Sierra,75,1124687,"['neo mellow', 'pop', 'post-teen pop', 'viral pop']",0.5,0.292,0,-8.554,1,0.0323,0,0.188,0.37,145.879,185200,4,False,1almCHdsfikRPfVB9VrEdT,58MLl9nC29IXbE4nEtuoP2,It's About Us,2014
39,40,Cool Kids,Echosmith,75,590592,['indie poptimism'],0.719,0.671,8,-6.279,1,0.0336,8.21e-06,0.12,0.786,130.027,237627,4,False,13P5rwmk2EsoFRIz9UCeh9,1PbBg2aYjWLKRk84zJK15x,Talking Dreams (Deluxe Edition),2014
40,41,"Let It Go - From ""Frozen""/Soundtrack Version",Various Artists,74,404588,"['hollywood', 'show tunes']",0.543,0.485,8,-6.85,1,0.0305,0,0.12,0.371,136.961,223840,4,False,0qcr5FMsEO85NAQjrlDRKo,73Np75Wv2tju61Eo9Zw4IR,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2014
41,42,Magic,Coldplay,74,40064381,"['permanent wave', 'pop']",0.738,0.482,6,-8.917,0,0.0402,0.621,0.106,0.352,93.457,285014,4,False,23khhseCLQqVMCIT1WMAns,4gzpq5DPGxSnKTe4SA8HAU,Ghost Stories,2014
42,43,Superheroes,The Script,74,7584805,"['celtic rock', 'neo mellow', 'pop', 'pop rock']",0.49,0.885,3,-4.121,1,0.0396,0,0.0741,0.64,166.996,245467,4,False,37sINbJZcFdHFAsVNsPq1i,3AQRLZ9PuTAozP28Skbq8V,No Sound Without Silence,2014
43,44,Habits (Stay High),Tove Lo,73,3184147,"['dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",0.729,0.65,5,-3.539,1,0.0313,6.69e-05,0.0829,0.347,110.02,209160,4,False,14OxJlLdcHNpgsm4DRwDOB,4NHQUGzhtTLFvgF5SZesLK,Queen Of The Clouds,2014
44,45,Say Something,A Great Big World,73,520542,"['neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",0.407,0.147,2,-8.822,1,0.0355,2.89e-06,0.0913,0.0765,141.284,229400,3,False,6Vc5wAMmXdKIAM7WUoEb7N,5xKp3UyavIBUsGy3DQdXeF,Is There Anybody Out There?,2014
45,46,Problem,Ariana Grande,75,85188706,"['dance pop', 'pop']",0.66,0.805,1,-5.352,0,0.153,8.83e-06,0.159,0.625,103.008,193920,4,False,7vS3Y0IKjde7Xg85LWIEdP,66CXWjxzNUsdJxJ2JdwvnR,My Everything (Deluxe),2014
46,47,Don't Tell 'Em,Jeremih,73,6010966,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0.856,0.527,2,-5.225,1,0.0997,0,0.11,0.386,98.052,266840,4,True,0Dc7J9VPV4eOInoxUiZrsL,3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,2014
47,48,Shake It Off,Taylor Swift,73,62872493,['pop'],0.647,0.785,7,-5.414,1,0.165,0,0.148,0.943,160.015,219200,4,False,5xTtaWoae3wi06K5WfVUUH,06HL4z0CvFAxyc27GXpf02,1989,2014
48,49,Under Control (feat. Hurts),Calvin Harris,73,22985542,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.544,0.915,8,-3.405,1,0.0841,0.000914,0.115,0.51,126.094,184280,4,False,4J7CKHCF3mdL4diUsmW8lq,7CajNmpbOovFoOoasH2HaY,Motion,2014
49,50,Stolen Dance,Milky Chance,73,1707692,['german pop'],0.885,0.581,11,-8.813,1,0.0378,0.000204,0.0759,0.728,114.016,313684,4,False,6vECYJHxYmm3Ydt3fF01pE,1hzfo8twXdOegF3xireCYs,Sadnecessary,2014
50,51,2 On (feat. ScHoolboy Q),Tinashe,73,2485737,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",0.742,0.595,9,-7.51,1,0.107,0,0.111,0.431,101.013,227000,4,True,3jVtllWS5CFFWLQng8sKsr,0NIIxcxNHmOoyBx03SfTCD,Aquarius,2014
51,52,Loyal (feat. Lil Wayne & Tyga),Chris Brown,73,17592595,"['dance pop', 'pop', 'r&b']",0.841,0.522,10,-5.963,0,0.049,1.37e-06,0.188,0.616,99.059,264947,4,True,5BrTUo0xP1wKXLJWUaGFtk,7bXgB6jMjp9ATFy66eO08Z,X (Expanded Edition),2014
52,53,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,72,239987,"['french indie pop', 'french rock']",0.763,0.875,9,-5.797,0,0.0262,5.41e-06,0.599,0.8,123.013,189413,4,False,5fnA9mkIfScSqHIpeDyvck,50OApTJurDusIo9dGTqSU4,Prayer in C,2014
53,54,Hot N*gga,Bobby Shmurda,72,1378552,"['nyc rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.794,0.51,9,-7.314,1,0.42,1.81e-06,0.0562,0.18,167.879,194561,4,True,19gEmPjfqSZT0ulDRfjl0m,34Y0ldeyUv7jBvukWOGASO,Hot N*gga,2014
54,55,My Love (feat. Jess Glynne),Route 94,72,151526,"['deep groove house', 'house', 'pop dance', 'uk dance']",0.814,0.622,8,-7.573,1,0.0492,0.72,0.0658,0.726,119.976,259934,4,False,61UQzeiIluhpzpMdY4ag3q,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne),2014
55,56,Don't,Ed Sheeran,71,105492653,"['pop', 'uk pop']",0.806,0.608,1,-7.008,1,0.0659,0,0.635,0.849,95.049,219840,4,False,1huvTbEYtgltjQRXzrNKGi,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),2014
56,57,She Looks So Perfect,5 Seconds of Summer,71,8989698,"['boy band', 'dance pop', 'pop', 'post-teen pop']",0.494,0.951,9,-4.237,1,0.132,0,0.327,0.441,160.025,202496,4,False,1gugDOSMREb34Xo0c1PlxM,5Rl15oVamLq7FbSb0NNBNy,5 Seconds Of Summer,2014
57,58,Rather Be (feat. Jess Glynne),Clean Bandit,71,4984411,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",0.799,0.586,11,-6.735,1,0.0377,2.03e-06,0.193,0.549,120.97,227833,4,False,3s4U7OHV7gnj42VV72eSZ6,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),2014
58,59,Man Of The Year,ScHoolboy Q,70,4317397,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.749,0.865,3,-5.228,1,0.0413,0,0.198,0.371,111.914,216013,4,True,5SsR3wtCOafDmZgvIdRhSm,5IcR3N7QB1j6KBL8eImZ8m,Oxymoron (Deluxe),2014
59,60,Latch,Disclosure,70,2074276,"['edm', 'house', 'pop', 'uk dance']",0.729,0.735,1,-5.455,1,0.0919,0.000193,0.089,0.544,121.986,255867,4,False,1DunhgeZSEgWiIYbHqXl0c,6nS5roXSAGhTGr34W6n7Et,Settle (Deluxe),2014
60,61,Drunk in Love (feat. Jay-Z),Beyoncé,70,32772772,"['dance pop', 'pop', 'r&b']",0.583,0.621,5,-6.902,0,0.0479,0.00106,0.181,0.399,140.036,323480,4,True,6jG2YzhxptolDzLHTGLt7S,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2014
61,62,Turn Down for What,DJ Snake,70,8216009,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",0.818,0.799,1,-4.1,0,0.156,0.128,0.057,0.0815,100.014,213733,4,False,67awxiNHNyjMXhVgsHuIrs,540vIaP2JwjQb9dm3aArA4,Turn Down for What,2014
62,63,Up (feat. Demi Lovato),Olly Murs,69,3259382,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",0.692,0.831,9,-5.389,1,0.034,0,0.103,0.676,114.972,224294,4,False,1RidHM9BC4M8DpfSQ6YLJh,3whuHq0yGx60atvA2RCVRW,Never Been Better (Expanded Edition),2014
63,64,Sing,Ed Sheeran,69,105492653,"['pop', 'uk pop']",0.818,0.67,8,-4.451,0,0.0472,1.22e-06,0.0601,0.939,119.988,235382,4,False,6K8qKeWo5MsFED7wCR6Kop,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),2014
64,65,Show Me (feat. Chris Brown),Kid Ink,68,2910521,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.711,0.508,7,-7.299,1,0.0502,0,0.141,0.663,98.098,217800,4,True,4q6dqyGM25sKFU8nYAGRe4,6KZDXtSj0SzGOV705nNeh3,My Own Lane (Expanded Edition),2014
65,66,New Flame (feat. Usher & Rick Ross),Chris Brown,68,17592595,"['dance pop', 'pop', 'r&b']",0.702,0.629,1,-4.292,1,0.041,0,0.0963,0.446,141.967,244227,4,True,3fBbfrWZUuWWrMQXFISr7N,7bXgB6jMjp9ATFy66eO08Z,X (Expanded Edition),2014
66,67,Bailando - Spanish Version,Enrique Iglesias,68,10994387,"['latin pop', 'mexican pop']",0.723,0.777,7,-3.503,1,0.108,3.68e-06,0.0451,0.961,91.017,243413,4,False,32lm3769IRfcnrQV11LO4E,7qG3b048QCHVRO5Pv1T5lw,SEX AND LOVE (Deluxe),2014
67,68,You Know You Like It,DJ Snake,69,8216009,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",0.407,0.725,5,-5.346,0,0.188,2.46e-06,0.306,0.247,196.093,247267,4,False,57kR5SniQIbsbVoIjjOUDa,540vIaP2JwjQb9dm3aArA4,You Know You Like It,2014
68,69,Burn,Ellie Goulding,67,11358718,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",0.555,0.772,1,-5.007,1,0.0523,0,0.105,0.346,86.921,231213,4,False,5lF0pHbsJ0QqyIrLweHJPW,0X2BH1fck6amBIoJhDVmmJ,Halcyon Nights,2014
69,70,Blame It on Me,George Ezra,67,3850915,"['folk-pop', 'neo-singer-songwriter']",0.537,0.757,3,-3.374,1,0.0274,0,0.341,0.421,103.882,196400,4,False,2vzMWO0T008m86yDnXwkII,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage (Expanded Edition),2014
